host_name,planet_letter,planet_name,num_planets_in_system,discovery_year,num_moons,link_to_wiki
HAT-P-37,b,HAT-P-37 b,1,2011,0,http://exoplanet.eu/catalog/hat-p-37_b/
HAT-P-38,b,HAT-P-38 b,1,2012,0,http://exoplanet.eu/catalog/hat-p-38_b/
HAT-P-39,b,HAT-P-39 b,1,2012,0,http://exoplanet.eu/catalog/hat-p-39_b/
HAT-P-4,b,HAT-P-4 b,1,2007,0,http://exoplanet.eu/catalog/hat-p-4_b/
HAT-P-40,b,HAT-P-40 b,1,2012,0,http://exoplanet.eu/catalog/hat-p-40_b/
HAT-P-41,b,HAT-P-41 b,1,2012,0,http://exoplanet.eu/catalog/hat-p-41_b/
HAT-P-42,b,HAT-P-42 b,1,2012,0,http://exoplanet.eu/catalog/hat-p-42_b/
HAT-P-43,b,HAT-P-43 b,1,2012,0,http://exoplanet.eu/catalog/hat-p-43_b/
HAT-P-44,b,HAT-P-44 b,2,2014,0,http://exoplanet.eu/catalog/hat-p-44_b/
HAT-P-44,c,HAT-P-44 c,2,2014,0,http://exoplanet.eu/catalog/hat-p-44_c/
HAT-P-45,b,HAT-P-45 b,1,2014,0,http://exoplanet.eu/catalog/hat-p-45_b/
HAT-P-46,b,HAT-P-46 b,1,2014,0,http://exoplanet.eu/catalog/hat-p-46_b/
HAT-P-49,b,HAT-P-49 b,1,2014,0,http://exoplanet.eu/catalog/hat-p-49_b/
HAT-P-5,b,HAT-P-5 b,1,2007,0,http://exoplanet.eu/catalog/hat-p-5_b/
HAT-P-50,b,HAT-P-50 b,1,2015,0,http://exoplanet.eu/catalog/hat-p-50_b/
HAT-P-51,b,HAT-P-51 b,1,2015,0,http://exoplanet.eu/catalog/hat-p-51_b/
HAT-P-52,b,HAT-P-52 b,1,2015,0,http://exoplanet.eu/catalog/hat-p-52_b/
HAT-P-53,b,HAT-P-53 b,1,2015,0,http://exoplanet.eu/catalog/hat-p-53_b/
HAT-P-54,b,HAT-P-54 b,1,2015,0,http://exoplanet.eu/catalog/hat-p-54_b/
HAT-P-55,b,HAT-P-55 b,1,2015,0,http://exoplanet.eu/catalog/hat-p-55_b/
HAT-P-56,b,HAT-P-56 b,1,2015,0,http://exoplanet.eu/catalog/hat-p-56_b/
HAT-P-57,b,HAT-P-57 b,1,2015,0,http://exoplanet.eu/catalog/hat-p-57_b/
HAT-P-6,b,HAT-P-6 b,1,2007,0,http://exoplanet.eu/catalog/hat-p-6_b/
HAT-P-65,b,HAT-P-65 b,1,2016,0,http://exoplanet.eu/catalog/hat-p-65_b/
HAT-P-66,b,HAT-P-66 b,1,2016,0,http://exoplanet.eu/catalog/hat-p-66_b/
HAT-P-67,b,HAT-P-67 b,1,2017,0,http://exoplanet.eu/catalog/hat-p-67_b/
HAT-P-69,b,HAT-P-69 b,1,2019,0,
HAT-P-7,b,HAT-P-7 b,1,2008,0,http://exoplanet.eu/catalog/hat-p-7_b/
HAT-P-70,b,HAT-P-70 b,1,2019,0,
HAT-P-8,b,HAT-P-8 b,1,2008,0,http://exoplanet.eu/catalog/hat-p-8_b/
HAT-P-9,b,HAT-P-9 b,1,2008,0,http://exoplanet.eu/catalog/hat-p-9_b/
HATS-1,b,HATS-1 b,1,2012,0,http://exoplanet.eu/catalog/hats-1_b/
HATS-10,b,HATS-10 b,1,2015,0,http://exoplanet.eu/catalog/hats-10_b/
HATS-11,b,HATS-11 b,1,2016,0,http://exoplanet.eu/catalog/hats-11_b/
HATS-12,b,HATS-12 b,1,2016,0,http://exoplanet.eu/catalog/hats-12_b/
HATS-13,b,HATS-13 b,1,2015,0,http://exoplanet.eu/catalog/hats-13_b/
